                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4423,                  1.095,                 1.3343,                0.91424,                0.85043,                0.92149,                0.69453,                 1.1926,                0.79587,                 1.2524,              0.0033257,              0.0033257,              0.0033257
                      2,                 1.0096,                0.61417,                 1.0852,                0.92376,                0.88186,                0.94789,                 0.7318,                 1.0922,                0.65562,                 1.1544,              0.0065931,              0.0065931,              0.0065931
                      3,                0.98729,                0.59351,                 1.0584,                  0.915,                0.88496,                0.94674,                0.75014,                 1.0406,                0.65532,                 1.1199,              0.0097946,              0.0097946,              0.0097946
                      4,                0.92806,                0.56469,                  1.033,                0.93059,                0.88953,                0.94857,                0.77888,                0.99491,                0.61446,                 1.1088,               0.009703,               0.009703,               0.009703
                      5,                0.88732,                0.53298,                 1.0252,                0.92236,                0.93006,                 0.9638,                0.80545,                 0.9577,                  0.583,                 1.0931,               0.009604,               0.009604,               0.009604
                      6,                0.85877,                 0.5166,                  1.016,                0.93042,                0.92527,                0.96352,                0.80586,                0.94363,                 0.5602,                 1.0894,               0.009505,               0.009505,               0.009505
                      7,                0.82023,                0.49373,                 1.0041,                0.93001,                0.92287,                0.96422,                0.82163,                0.91317,                0.55432,                 1.0757,               0.009406,               0.009406,               0.009406
                      8,                0.78685,                0.47424,                0.99373,                 0.9233,                0.91696,                 0.9613,                0.82342,                0.89518,                0.55978,                 1.0753,               0.009307,               0.009307,               0.009307
                      9,                0.77482,                0.46964,                0.98867,                0.90685,                0.92752,                0.95072,                0.79154,                0.92953,                0.58112,                 1.0759,               0.009208,               0.009208,               0.009208
                     10,                0.75549,                0.45451,                0.98393,                0.93179,                  0.933,                  0.967,                0.83536,                0.85411,                0.51762,                 1.0457,               0.009109,               0.009109,               0.009109
                     11,                0.73434,                0.44217,                0.97712,                0.92559,                0.94014,                0.97059,                0.83907,                0.84625,                0.50392,                 1.0669,                0.00901,                0.00901,                0.00901
                     12,                0.72713,                0.43578,                0.97476,                0.94525,                0.94155,                 0.9708,                0.84436,                0.84665,                0.49832,                 1.0474,               0.008911,               0.008911,               0.008911
                     13,                0.70862,                0.42683,                0.96757,                0.94055,                0.90799,                0.96677,                0.84059,                 0.8315,                0.51913,                  1.051,               0.008812,               0.008812,               0.008812
                     14,                0.70883,                0.42554,                0.97175,                0.94377,                0.93913,                0.97455,                0.84715,                 0.8265,                0.49266,                 1.0395,               0.008713,               0.008713,               0.008713
                     15,                0.68855,                0.41533,                0.96185,                0.95298,                 0.9368,                0.97413,                0.84827,                0.82142,                0.48567,                 1.0482,               0.008614,               0.008614,               0.008614
                     16,                0.68547,                0.41061,                0.95996,                0.94845,                0.93164,                 0.9715,                0.84578,                0.80521,                0.49062,                 1.0357,               0.008515,               0.008515,               0.008515
                     17,                0.68477,                0.40833,                0.96174,                0.95444,                0.93602,                0.97482,                0.85192,                0.79632,                0.48507,                 1.0327,               0.008416,               0.008416,               0.008416
                     18,                0.68104,                0.40399,                0.96025,                0.95049,                0.94116,                0.97409,                0.85876,                0.78553,                0.47387,                 1.0253,               0.008317,               0.008317,               0.008317
                     19,                0.66835,                0.39855,                0.95285,                0.95046,                0.94383,                 0.9753,                0.85578,                0.79795,                0.47262,                 1.0415,               0.008218,               0.008218,               0.008218
