                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3935,                 3.1183,                  3.809,                0.53269,                0.40845,                 0.3675,                0.12965,                 2.8597,                 2.8671,                 3.4321,              0.0033257,              0.0033257,              0.0033257
                      2,                 2.2301,                 1.6951,                 2.5269,                0.94609,                0.67846,                0.78008,                0.49671,                 1.9902,                 1.8736,                 2.4664,              0.0065931,              0.0065931,              0.0065931
                      3,                 1.6873,                 1.2602,                 2.0091,                0.89653,                0.73613,                0.84063,                0.53838,                 1.6931,                   1.58,                 2.1649,              0.0097946,              0.0097946,              0.0097946
                      4,                  1.415,                 1.0522,                 1.7543,                0.89002,                 0.7775,                0.88155,                 0.6466,                 1.4038,                 1.2842,                 1.8882,               0.009703,               0.009703,               0.009703
                      5,                 1.2745,                0.93422,                 1.6322,                0.92181,                0.78558,                0.90258,                0.67167,                  1.314,                 1.1903,                 1.7786,               0.009604,               0.009604,               0.009604
                      6,                 1.1942,                0.86517,                 1.5629,                0.92363,                0.82209,                0.91307,                0.67342,                 1.3228,                 1.0932,                 1.7577,               0.009505,               0.009505,               0.009505
                      7,                 1.1212,                0.80512,                 1.5045,                0.91495,                0.85968,                0.92895,                0.72234,                 1.1911,                0.92304,                 1.6557,               0.009406,               0.009406,               0.009406
                      8,                 1.0615,                0.75303,                  1.451,                0.89261,                0.87278,                0.93234,                 0.7417,                 1.1556,                0.90711,                 1.6323,               0.009307,               0.009307,               0.009307
                      9,                  1.036,                0.72902,                 1.4265,                0.88926,                0.88376,                0.93517,                0.74887,                 1.1047,                0.89108,                  1.583,               0.009208,               0.009208,               0.009208
                     10,                0.99433,                0.69458,                  1.397,                0.90958,                0.89666,                0.94431,                0.76054,                  1.076,                0.84229,                  1.556,               0.009109,               0.009109,               0.009109
                     11,                0.97072,                0.67736,                  1.382,                 0.9128,                0.89114,                0.94526,                0.76296,                 1.0782,                 0.8209,                 1.5442,                0.00901,                0.00901,                0.00901
                     12,                0.95367,                0.65809,                 1.3744,                0.92159,                0.90242,                0.95059,                0.77707,                 1.0263,                0.77477,                 1.5042,               0.008911,               0.008911,               0.008911
                     13,                0.92362,                0.63783,                 1.3426,                0.91009,                0.87211,                0.94121,                0.78403,                 1.0392,                0.80108,                 1.5081,               0.008812,               0.008812,               0.008812
                     14,                0.92227,                0.63319,                 1.3412,                0.92609,                0.90456,                0.95345,                0.78502,                 1.0458,                0.75859,                 1.4989,               0.008713,               0.008713,               0.008713
