                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.64022,                0.43393,                0.98287,                0.94354,                0.94555,                0.97431,                 0.8706,                0.73679,                0.49091,                 1.0131,               0.006436,               0.006436,               0.006436
                     38,                0.63775,                0.42797,                0.98088,                0.94951,                0.93835,                0.97357,                0.87149,                0.73481,                0.47724,                 1.0178,               0.006337,               0.006337,               0.006337
                     39,                0.62827,                0.42536,                 0.9742,                0.93223,                0.94041,                0.97304,                0.86767,                0.73739,                0.48785,                 1.0219,               0.006238,               0.006238,               0.006238
                     40,                0.62417,                0.42477,                0.97253,                0.94933,                0.93834,                0.97269,                0.87427,                0.73288,                0.48164,                 1.0151,               0.006139,               0.006139,               0.006139
                     41,                0.62379,                0.42734,                0.97436,                0.94251,                0.94009,                0.97305,                0.87125,                0.74252,                0.48336,                 1.0213,                0.00604,                0.00604,                0.00604
                     42,                0.61562,                0.42031,                0.96743,                0.93765,                0.95091,                0.97408,                 0.8709,                0.73571,                0.48077,                 1.0219,               0.005941,               0.005941,               0.005941
                     43,                0.61672,                0.41615,                 0.9702,                0.94523,                0.94181,                0.97389,                0.87291,                 0.7281,                0.48026,                 1.0168,               0.005842,               0.005842,               0.005842
                     44,                0.60929,                0.41535,                 0.9646,                0.95133,                0.93786,                0.97618,                0.87687,                0.72307,                0.47615,                 1.0095,               0.005743,               0.005743,               0.005743
                     45,                 0.5984,                 0.4103,                0.96256,                 0.9462,                0.93603,                0.97435,                0.87697,                0.72777,                0.48085,                 1.0109,               0.005644,               0.005644,               0.005644
                     46,                0.61214,                0.41524,                0.96555,                0.94743,                0.94169,                0.97434,                0.87779,                0.71826,                0.47059,                 1.0074,               0.005545,               0.005545,               0.005545
                     47,                0.60878,                0.41186,                0.96243,                0.93445,                0.94861,                0.97486,                0.87914,                0.71629,                0.47238,                  1.007,               0.005446,               0.005446,               0.005446
                     48,                0.59965,                0.41273,                0.96272,                0.93983,                0.94465,                 0.9741,                0.87819,                0.70346,                0.46291,                 1.0015,               0.005347,               0.005347,               0.005347
                     49,                0.60978,                0.41391,                0.96799,                0.94114,                0.94582,                0.97608,                0.88259,                0.70242,                0.46214,                 1.0026,               0.005248,               0.005248,               0.005248
                     50,                 0.5981,                0.40908,                0.96112,                0.94636,                 0.9403,                0.97593,                0.88069,                 0.7112,                0.46327,                 1.0023,               0.005149,               0.005149,               0.005149
                     51,                0.59511,                0.40872,                0.95616,                0.94645,                0.93992,                0.97622,                0.88418,                 0.7043,                0.45677,                 1.0017,                0.00505,                0.00505,                0.00505
                     52,                0.58696,                0.40255,                0.95541,                0.94632,                0.94183,                0.97531,                0.88308,                0.70716,                0.46678,                 1.0057,               0.004951,               0.004951,               0.004951
                     53,                0.57813,                0.39857,                0.95366,                0.95275,                0.94493,                0.97739,                0.88609,                0.69774,                0.46325,                 1.0004,               0.004852,               0.004852,               0.004852
                     54,                0.57831,                0.39835,                0.95213,                0.94003,                 0.9383,                 0.9768,                0.88521,                0.69953,                0.45623,                0.99839,               0.004753,               0.004753,               0.004753
                     55,                0.57495,                0.39621,                0.95028,                 0.9433,                0.94283,                0.97601,                0.88675,                0.69532,                 0.4495,                0.99953,               0.004654,               0.004654,               0.004654
                     56,                0.57529,                0.39643,                0.95197,                0.94551,                0.94804,                0.97707,                0.88539,                0.69293,                0.45428,                0.99816,               0.004555,               0.004555,               0.004555
                     57,                  0.579,                0.39511,                0.95318,                0.95149,                0.94844,                0.97685,                0.88706,                0.69076,                0.45352,                0.99521,               0.004456,               0.004456,               0.004456
                     58,                0.58657,                0.40499,                0.95811,                 0.9496,                0.94654,                 0.9764,                0.88243,                0.69325,                0.45156,                0.99862,               0.004357,               0.004357,               0.004357
                     59,                0.56647,                0.38965,                0.94467,                0.94904,                0.94707,                0.97632,                0.88706,                0.69285,                0.45025,                0.99756,               0.004258,               0.004258,               0.004258
                     60,                0.56492,                0.39356,                0.94602,                0.95173,                 0.9476,                0.97654,                0.88807,                0.68069,                0.44876,                0.99136,               0.004159,               0.004159,               0.004159
                     61,                0.56406,                0.39582,                0.94644,                0.95171,                0.95007,                0.97779,                0.88927,                0.67875,                0.44827,                 0.9898,                0.00406,                0.00406,                0.00406
                     62,                0.55897,                0.38984,                0.94416,                0.94718,                0.95176,                 0.9775,                0.88783,                0.68904,                0.44813,                 1.0007,               0.003961,               0.003961,               0.003961
                     63,                0.56608,                0.39214,                0.94513,                0.95017,                0.94227,                0.97689,                0.88988,                0.68123,                0.44492,                0.99227,               0.003862,               0.003862,               0.003862
                     64,                0.55893,                 0.3909,                0.94209,                0.94653,                0.94839,                0.97703,                0.89033,                0.67845,                0.44624,                0.98847,               0.003763,               0.003763,               0.003763
                     65,                 0.5613,                 0.3908,                0.94246,                0.94856,                 0.9423,                0.97701,                0.88963,                0.67386,                0.43711,                0.98746,               0.003664,               0.003664,               0.003664
                     66,                0.55725,                0.38671,                0.94444,                0.94788,                0.94492,                0.97648,                0.88827,                0.67646,                0.44461,                0.98943,               0.003565,               0.003565,               0.003565
                     67,                0.55109,                0.38635,                 0.9412,                0.95101,                 0.9465,                0.97666,                0.88949,                0.67569,                0.44462,                0.98985,               0.003466,               0.003466,               0.003466
                     68,                0.55515,                0.38554,                0.94148,                0.95196,                0.94883,                0.97793,                0.89024,                0.67541,                0.44287,                0.98923,               0.003367,               0.003367,               0.003367
                     69,                0.55295,                0.38276,                 0.9425,                0.94997,                0.94735,                0.97658,                0.88798,                0.67476,                0.43861,                0.99414,               0.003268,               0.003268,               0.003268
