                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.353,                  1.086,                 1.4625,                0.90052,                0.87482,                0.93832,                0.71868,                 1.1376,                 0.7655,                 1.3314,              0.0033257,              0.0033257,              0.0033257
                      2,                0.93461,                0.59415,                 1.1278,                0.91042,                0.92811,                0.95832,                0.76679,                  1.009,                0.61706,                 1.1876,              0.0065931,              0.0065931,              0.0065931
                      3,                0.89869,                0.56286,                 1.0893,                0.91361,                0.89579,                0.94931,                0.78335,                0.95915,                0.66625,                 1.1172,              0.0097946,              0.0097946,              0.0097946
                      4,                  0.846,                0.53482,                 1.0671,                 0.9287,                0.90213,                0.95852,                0.80544,                0.96615,                0.61015,                 1.1227,               0.009703,               0.009703,               0.009703
                      5,                0.81191,                 0.5099,                 1.0623,                0.92494,                0.93252,                0.96532,                 0.8166,                0.94638,                0.58806,                 1.1535,               0.009604,               0.009604,               0.009604
                      6,                0.78928,                0.49263,                 1.0564,                0.91042,                0.92459,                0.96021,                0.81071,                0.89792,                0.57913,                 1.1332,               0.009505,               0.009505,               0.009505
                      7,                0.75334,                0.47023,                 1.0421,                 0.9285,                0.90018,                0.95799,                0.82737,                0.87917,                  0.584,                 1.1059,               0.009406,               0.009406,               0.009406
                      8,                0.72769,                0.45004,                 1.0311,                0.94142,                0.93191,                0.96967,                0.84316,                0.86537,                0.52124,                 1.0968,               0.009307,               0.009307,               0.009307
                      9,                0.71559,                0.44383,                 1.0224,                0.93066,                0.94199,                 0.9679,                0.83581,                0.86265,                0.53539,                 1.0769,               0.009208,               0.009208,               0.009208
                     10,                0.69647,                0.42859,                 1.0171,                0.94084,                0.93696,                0.96944,                0.83606,                0.85459,                0.52263,                 1.0843,               0.009109,               0.009109,               0.009109
                     11,                0.68203,                0.41761,                  1.011,                0.93909,                0.94263,                0.97431,                0.84904,                0.83179,                0.50495,                 1.0968,                0.00901,                0.00901,                0.00901
                     12,                0.67605,                0.41214,                 1.0081,                  0.947,                0.94334,                0.97325,                0.84566,                0.81879,                0.48911,                 1.0794,               0.008911,               0.008911,               0.008911
                     13,                0.65742,                0.40507,                0.99818,                0.94164,                0.93517,                0.97331,                0.85196,                0.80746,                0.50759,                 1.0651,               0.008812,               0.008812,               0.008812
                     14,                 0.6625,                0.40375,                 1.0045,                0.94202,                0.94528,                0.97534,                0.85425,                0.78676,                0.48643,                 1.0728,               0.008713,               0.008713,               0.008713
                     15,                0.64074,                0.39445,                0.99048,                0.94645,                0.94376,                0.97387,                0.85202,                  0.779,                0.47172,                   1.05,               0.008614,               0.008614,               0.008614
                     16,                  0.643,                0.38963,                0.99215,                0.95281,                 0.9392,                0.97543,                0.85763,                  0.773,                0.47045,                 1.0492,               0.008515,               0.008515,               0.008515
                     17,                0.63853,                 0.3864,                 0.9936,                0.95503,                0.93831,                 0.9723,                0.85748,                0.76766,                0.47224,                 1.0679,               0.008416,               0.008416,               0.008416
                     18,                0.63614,                0.38216,                0.99095,                0.95975,                0.94662,                0.97828,                0.86294,                0.77232,                0.45472,                 1.0434,               0.008317,               0.008317,               0.008317
                     19,                0.62062,                0.37609,                0.98604,                0.95144,                0.94547,                0.97772,                0.85971,                0.76246,                0.45761,                 1.0654,               0.008218,               0.008218,               0.008218
                     20,                0.61799,                0.36873,                 0.9805,                0.94998,                0.95123,                0.97711,                0.86334,                 0.7492,                0.45127,                 1.0527,               0.008119,               0.008119,               0.008119
                     21,                0.62358,                0.37686,                0.98647,                0.95662,                0.94677,                0.97845,                0.86417,                0.74892,                0.45023,                 1.0458,                0.00802,                0.00802,                0.00802
                     22,                0.59924,                0.36199,                0.97537,                0.95571,                0.94749,                 0.9783,                0.87018,                0.75012,                0.45268,                 1.0477,               0.007921,               0.007921,               0.007921
                     23,                0.60464,                0.36242,                0.98336,                 0.9562,                0.95117,                0.98007,                0.87242,                0.73885,                0.44277,                 1.0448,               0.007822,               0.007822,               0.007822
                     24,                0.58883,                0.36126,                0.96697,                0.95764,                  0.943,                0.97904,                0.87652,                0.72183,                0.43913,                 1.0253,               0.007723,               0.007723,               0.007723
                     25,                0.58513,                0.35773,                0.96696,                0.94017,                0.94394,                  0.975,                0.87389,                0.72379,                0.45628,                 1.0376,               0.007624,               0.007624,               0.007624
                     26,                0.57184,                0.35725,                0.96245,                0.95499,                 0.9522,                0.97873,                0.87303,                0.71264,                0.44694,                 1.0255,               0.007525,               0.007525,               0.007525
                     27,                0.57553,                0.35583,                0.96365,                0.93632,                0.94281,                0.97654,                0.87604,                0.72031,                0.44145,                 1.0341,               0.007426,               0.007426,               0.007426
                     28,                0.56422,                0.34915,                0.96264,                0.95168,                0.94485,                0.97881,                0.88385,                 0.7021,                0.44706,                 1.0343,               0.007327,               0.007327,               0.007327
                     29,                0.56377,                0.34747,                0.95277,                0.96192,                0.94766,                0.98045,                 0.8811,                0.70687,                 0.4414,                 1.0317,               0.007228,               0.007228,               0.007228
                     30,                0.55678,                 0.3459,                 0.9495,                0.95035,                0.94806,                 0.9783,                0.88073,                0.70676,                0.43762,                 1.0285,               0.007129,               0.007129,               0.007129
                     31,                0.55117,                0.34499,                0.94952,                 0.9558,                0.94682,                0.97983,                0.88863,                0.69775,                0.43279,                  1.021,                0.00703,                0.00703,                0.00703
                     32,                0.53881,                0.33422,                0.94492,                0.94762,                0.94183,                0.97962,                0.88687,                  0.686,                0.42978,                 1.0189,               0.006931,               0.006931,               0.006931
                     33,                0.53579,                0.33552,                0.94252,                0.96391,                 0.9356,                0.98143,                0.89008,                 0.6823,                0.42835,                 1.0259,               0.006832,               0.006832,               0.006832
                     34,                0.53236,                0.33674,                0.94181,                0.95717,                 0.9523,                0.97999,                0.89176,                 0.6772,                0.42549,                 1.0198,               0.006733,               0.006733,               0.006733
                     35,                0.52621,                0.33158,                0.94017,                0.95322,                0.94567,                 0.9794,                0.89075,                0.66946,                0.41483,                 0.9976,               0.006634,               0.006634,               0.006634
                     36,                0.52516,                0.32778,                0.93363,                0.95768,                0.94314,                0.97875,                0.89315,                0.67017,                0.43902,                 1.0164,               0.006535,               0.006535,               0.006535
                     37,                0.52502,                 0.3327,                0.93691,                0.96203,                0.94301,                0.97983,                0.89399,                0.66654,                0.41859,                 1.0155,               0.006436,               0.006436,               0.006436
                     38,                0.52137,                0.32849,                0.93667,                0.95477,                0.95165,                0.97867,                0.88116,                0.67397,                0.41579,                 1.0205,               0.006337,               0.006337,               0.006337
                     39,                  0.512,                0.32495,                 0.9317,                 0.9555,                 0.9439,                0.97929,                 0.8858,                0.66665,                0.41529,                   1.03,               0.006238,               0.006238,               0.006238
                     40,                0.51325,                0.32543,                0.93202,                0.95491,                0.94485,                0.97804,                0.89466,                0.65769,                0.41156,                0.99436,               0.006139,               0.006139,               0.006139
                     41,                0.50731,                0.32652,                0.92896,                0.96058,                 0.9375,                0.98016,                  0.895,                0.66608,                0.41633,                 1.0187,                0.00604,                0.00604,                0.00604
                     42,                0.50012,                0.31978,                 0.9244,                0.95792,                0.94481,                0.97979,                0.89407,                0.64192,                 0.4137,                  1.005,               0.005941,               0.005941,               0.005941
                     43,                0.49969,                0.31711,                0.92701,                0.95738,                0.93992,                0.97938,                0.89788,                0.64805,                0.40528,                0.99607,               0.005842,               0.005842,               0.005842
                     44,                0.48865,                0.31651,                0.91893,                0.96151,                0.94529,                0.97976,                0.90268,                0.63808,                0.40952,                 1.0004,               0.005743,               0.005743,               0.005743
                     45,                0.48339,                0.31002,                0.91984,                0.96014,                0.94804,                0.97941,                0.89803,                0.64635,                0.41494,                 1.0001,               0.005644,               0.005644,               0.005644
                     46,                0.49078,                0.31236,                0.91997,                0.95954,                0.94793,                0.98043,                 0.8993,                0.64055,                0.40876,                0.99857,               0.005545,               0.005545,               0.005545
                     47,                0.48865,                0.31032,                0.91497,                0.95769,                0.94139,                0.97894,                0.90076,                0.63114,                0.40357,                0.98413,               0.005446,               0.005446,               0.005446
                     48,                0.48212,                0.31116,                0.91592,                0.95544,                0.94073,                0.97881,                0.90345,                0.63091,                0.40279,                0.99022,               0.005347,               0.005347,               0.005347
                     49,                0.48944,                0.31007,                0.92108,                0.95104,                0.94471,                0.97935,                0.90272,                 0.6325,                0.40495,                0.99028,               0.005248,               0.005248,               0.005248
                     50,                0.47817,                0.30744,                 0.9132,                0.95616,                  0.951,                0.98025,                0.90273,                0.63294,                0.39701,                0.99751,               0.005149,               0.005149,               0.005149
                     51,                0.47096,                0.30449,                0.91063,                0.96382,                0.94391,                0.97983,                0.90595,                0.62496,                0.40904,                0.99307,                0.00505,                0.00505,                0.00505
                     52,                0.46877,                0.30071,                0.91039,                0.96352,                0.95098,                0.97983,                0.90501,                0.62159,                0.40334,                0.99386,               0.004951,               0.004951,               0.004951
                     53,                0.46293,                0.29932,                0.91125,                0.95684,                0.94707,                0.98048,                0.90422,                0.62627,                0.40275,                 1.0045,               0.004852,               0.004852,               0.004852
                     54,                0.46112,                0.30064,                0.91046,                0.94731,                0.94328,                0.97854,                0.90457,                0.62726,                0.40139,                 1.0161,               0.004753,               0.004753,               0.004753
                     55,                0.45791,                0.29733,                0.90693,                0.95404,                0.93924,                0.97987,                0.90463,                0.62352,                0.39522,                  1.004,               0.004654,               0.004654,               0.004654
                     56,                0.45693,                0.29622,                0.90697,                0.96593,                0.94933,                0.97975,                0.90437,                0.62108,                0.40187,                0.99948,               0.004555,               0.004555,               0.004555
