                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3466,                 2.9099,                 3.6353,                0.45487,                0.31402,                0.37419,                  0.118,                 3.0237,                 2.4177,                 3.0565,              0.0033257,              0.0033257,              0.0033257
                      2,                  2.218,                 1.3063,                 1.9475,                0.92581,                0.69526,                0.78095,                0.46757,                 1.9875,                 1.4553,                 2.0616,              0.0065931,              0.0065931,              0.0065931
                      3,                  1.634,                0.99258,                  1.491,                0.93317,                0.75619,                0.85485,                0.55646,                 1.6962,                 1.2656,                 1.6979,              0.0097946,              0.0097946,              0.0097946
                      4,                 1.3748,                0.84896,                 1.3139,                0.92893,                0.79141,                0.87198,                0.64491,                 1.4534,                 1.0594,                 1.5504,               0.009703,               0.009703,               0.009703
                      5,                  1.224,                0.75755,                  1.239,                0.92211,                0.84317,                0.91238,                0.68071,                    1.3,                0.91437,                 1.4407,               0.009604,               0.009604,               0.009604
                      6,                   1.14,                 0.7085,                 1.2014,                0.92021,                0.83868,                0.92239,                 0.6934,                 1.2379,                0.90235,                 1.3905,               0.009505,               0.009505,               0.009505
                      7,                 1.0682,                 0.6598,                 1.1688,                  0.908,                0.87459,                0.93143,                0.72665,                 1.1447,                0.79031,                 1.3494,               0.009406,               0.009406,               0.009406
                      8,                 1.0084,                 0.6215,                 1.1399,                 0.9076,                0.87367,                0.93556,                0.73807,                 1.1082,                 0.7396,                 1.3397,               0.009307,               0.009307,               0.009307
                      9,                0.98321,                0.60229,                 1.1285,                0.91111,                0.87262,                0.93772,                0.76508,                 1.0785,                0.75589,                 1.3239,               0.009208,               0.009208,               0.009208
                     10,                0.94536,                0.57852,                 1.1164,                0.91421,                0.88541,                0.94253,                0.76868,                  1.027,                0.68041,                 1.2971,               0.009109,               0.009109,               0.009109
                     11,                0.91471,                0.55975,                 1.1025,                0.91533,                0.90584,                0.94904,                 0.7704,                 1.0255,                0.66521,                 1.2933,                0.00901,                0.00901,                0.00901
                     12,                0.89896,                0.54524,                 1.0978,                 0.9212,                0.90201,                0.94987,                0.78629,                0.98639,                0.64959,                 1.2759,               0.008911,               0.008911,               0.008911
                     13,                0.86985,                0.53163,                 1.0826,                0.91453,                 0.8728,                0.94276,                0.78855,                0.97242,                0.65998,                 1.2585,               0.008812,               0.008812,               0.008812
