                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4311,                 2.9885,                 3.8823,                0.30303,                0.29416,                0.27773,                0.09102,                 2.7939,                 2.9427,                 3.5443,              0.0033257,              0.0033257,              0.0033257
                      2,                  2.193,                 1.6442,                 2.5352,                0.91958,                 0.7112,                0.80162,                0.53556,                 1.8534,                 1.8154,                 2.3867,              0.0065931,              0.0065931,              0.0065931
                      3,                 1.6091,                 1.1906,                 1.9515,                0.89314,                0.75152,                0.85061,                 0.5447,                 1.7314,                 1.5085,                 2.1582,              0.0097946,              0.0097946,              0.0097946
                      4,                  1.328,                0.97117,                 1.6844,                0.89095,                0.80491,                0.89622,                 0.6605,                 1.4256,                 1.1573,                 1.8822,               0.009703,               0.009703,               0.009703
                      5,                 1.1804,                0.85066,                 1.5611,                0.91908,                0.83992,                0.92167,                0.70299,                 1.2528,                 1.0366,                 1.7398,               0.009604,               0.009604,               0.009604
                      6,                 1.0973,                0.77998,                 1.4905,                0.91305,                0.86545,                0.93087,                 0.7155,                 1.2079,                0.96122,                 1.6657,               0.009505,               0.009505,               0.009505
                      7,                 1.0297,                0.72546,                 1.4365,                 0.9236,                0.85892,                0.93128,                0.74977,                 1.1116,                0.86912,                 1.6079,               0.009406,               0.009406,               0.009406
                      8,                0.97251,                0.67689,                 1.3866,                0.90739,                0.87653,                 0.9344,                 0.7487,                 1.1207,                0.83792,                 1.6039,               0.009307,               0.009307,               0.009307
                      9,                0.94616,                0.65378,                 1.3621,                0.90976,                 0.8963,                0.94824,                0.78976,                 1.0298,                0.80217,                 1.5275,               0.009208,               0.009208,               0.009208
                     10,                0.90579,                0.62007,                 1.3331,                0.91789,                0.91146,                0.95451,                0.80171,                0.99467,                 0.7514,                 1.4914,               0.009109,               0.009109,               0.009109
                     11,                0.88189,                0.60264,                 1.3176,                0.90351,                0.91105,                0.95425,                0.79793,                 0.9973,                0.72926,                 1.4898,                0.00901,                0.00901,                0.00901
                     12,                0.86658,                0.58592,                 1.3082,                0.92896,                0.91013,                0.95706,                 0.7995,                0.98437,                0.72053,                 1.4616,               0.008911,               0.008911,               0.008911
                     13,                0.83869,                0.56797,                 1.2801,                0.89482,                0.90332,                0.94902,                0.80723,                0.97222,                0.74938,                 1.4496,               0.008812,               0.008812,               0.008812
                     14,                0.83751,                0.56119,                  1.279,                  0.931,                0.90837,                 0.9619,                0.81447,                0.94535,                 0.6665,                 1.4247,               0.008713,               0.008713,               0.008713
                     15,                0.80892,                0.54458,                 1.2561,                0.93267,                0.90717,                0.96039,                0.81987,                0.93578,                   0.66,                 1.4171,               0.008614,               0.008614,               0.008614
                     16,                0.80914,                0.53855,                 1.2557,                 0.9272,                0.91195,                  0.962,                0.82546,                0.92723,                0.64778,                  1.415,               0.008515,               0.008515,               0.008515
                     17,                0.80558,                0.53619,                 1.2573,                0.94471,                 0.9112,                0.96348,                0.82939,                0.90631,                0.62824,                  1.402,               0.008416,               0.008416,               0.008416
                     18,                0.79789,                0.52576,                  1.248,                0.93573,                0.92786,                0.96551,                0.83172,                0.89132,                0.60958,                 1.3755,               0.008317,               0.008317,               0.008317
                     19,                0.77618,                0.51287,                 1.2284,                0.93787,                0.93018,                0.96643,                0.83097,                0.90608,                0.60334,                 1.3903,               0.008218,               0.008218,               0.008218
